ABC_link	NBC_link	NumMatching
http:__abcnews.go.com_Entertainment_wireStory_huckabees-comments-birth-control-gift-dems-21647982.tsv	http:__nbcpolitics.nbcnews.com__news_2014_01_23_22417222-huckabee-dems-say-women-need-government-to-control-their-libido?lite.tsv	9
http:__abcnews.go.com_Technology_wireStory_california-men-charged-hacking-email-porn-21644509.tsv	http:__investigations.nbcnews.com__news_2014_01_23_22418229-revenge-porn-site-creator-alleged-hacker-charged-with-computer-crime-id-theft?lite.tsv	9
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22399753-mexican-nationals-lawyers-want-texas-death-chamber-execution-halted?lite.tsv	13
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22399753-supreme-court-denies-stay-of-execution-in-texas-for-mexican-national?lite.tsv	10
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22399753-texas-delays-execution-of-mexican-national-waits-on-supreme-court?lite.tsv	12
http:__abcnews.go.com_Politics_wireStory_court-hears-case-child-porn-victim-restitution-21619024.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22403532-supreme-court-justices-weigh-restitution-to-victims-of-child-porn?lite.tsv	11
http:__abcnews.go.com_US_wireStory_attorneys-brain-dead-womans-fetus-abnormal-21630077.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22404705-fetus-of-texas-woman-on-life-support-distinctly-abnormal-family-lawyers-say?lite.tsv	10
http:__abcnews.go.com_US_wireStory_mexican-national-scheduled-executed-texas-21618507.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22399753-texas-executes-mexican-national-despite-opposition?lite.tsv	10
http:__abcnews.go.com_US_wireStory_texas-womans-family-asks-end-life-support-21647348.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22404705-fetus-of-texas-woman-on-life-support-distinctly-abnormal-family-lawyers-say?lite.tsv	11
http:__abcnews.go.com_US_wireStory_wva-chemical-spill-5m-credit-21616605.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22400914-state-orders-west-va-plant-to-come-clean-on-chemical-spill?lite.tsv	11
http:__abcnews.go.com_US_wireStory_victim-nevada-hospital-shooting-dies-21625790.tsv	http:__usnews.nbcnews.com__news_2014_01_22_22406617-nevada-woman-allegedly-shot-by-husband-of-63-years-dies?lite.tsv	10
http:__abcnews.go.com_Politics_wireStory_hagel-ordering-full-review-nuclear-force-21640561.tsv	http:__usnews.nbcnews.com__news_2014_01_23_22418511-defense-secretary-hagel-orders-review-of-nuclear-weapons-mission-following-scandals?lite.tsv	9
http:__abcnews.go.com_Entertainment_wireStory_michigan-woman-arraigned-attack-bliges-dad-21676119.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22423526-mary-j-bliges-father-critical-after-stabbing?lite.tsv	9
http:__abcnews.go.com_US_wireStory_fla-theater-shooting-911-call-pleas-21654400.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22432377-breathe-breathe-911-calls-in-theater-shooting-released?lite.tsv	9
http:__abcnews.go.com_US_wireStory_va-ags-office-gay-marriage-ban-unconstitutional-21633619.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22416128-for-virginia-attorney-general-gay-marriage-fight-is-just-the-latest-challenge?lite.tsv	11
http:__abcnews.go.com_Entertainment_wireStory_michigan-woman-arraigned-attack-bliges-dad-21676119.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22436502-woman-held-on-500000-bail-in-stabbing-of-mary-j-bliges-father?lite.tsv	10
http:__abcnews.go.com_US_wireStory_attorneys-brain-dead-womans-fetus-abnormal-21630077.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22433012-texas-judge-orders-brain-dead-pregnant-woman-off-life-support?lite.tsv	11
http:__abcnews.go.com_US_wireStory_hospital-told-pregnant-woman-off-support-21728372.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22433012-texas-judge-orders-brain-dead-pregnant-woman-off-life-support?lite.tsv	10
http:__abcnews.go.com_US_wireStory_texas-womans-family-asks-end-life-support-21647348.tsv	http:__usnews.nbcnews.com__news_2014_01_24_22433012-texas-judge-orders-brain-dead-pregnant-woman-off-life-support?lite.tsv	10
http:__abcnews.go.com_Health_wireStory_ap-exclusive-regs-sought-child-car-seats-21618299.tsv	http:__www.nbcnews.com_business_child-car-seats-should-survive-side-impact-crashes-feds-say-2D11971621.tsv	11
http:__abcnews.go.com_US_wireStory_mich-seek-visas-lure-immigrants-detroit-21633881.tsv	http:__www.nbcnews.com_business_michigan-us-give-immigrants-visas-help-bankrupt-detroit-2D11980300.tsv	9
http:__abcnews.go.com_Entertainment_wireStory_jury-sides-courtney-love-trial-tweet-21662958.tsv	http:__www.nbcnews.com_entertainment_courtney-love-wins-first-twitter-libel-trial-2D11988969.tsv	10
