BBC_link	FOX_link	NumMatching
http:__www.bbc.co.uk_news_entertainment-arts-25876655.tsv	http:__www.foxnews.com_entertainment_2014_01_23_justin-bieber-reportedly-arrested-in-miami-beach_.tsv	9
http:__www.bbc.co.uk_news_world-us-canada-25889728.tsv	http:__www.foxnews.com_health_2014_01_24_texas-hospital-ordered-to-remove-life-support-from-pregnant-brain-dead-woman_.tsv	9
http:__www.bbc.co.uk_news_world-us-canada-25856570.tsv	http:__www.foxnews.com_politics_2014_01_23_independent-federal-review-board-says-nsa-phone-data-collection-program-should_.tsv	11
http:__www.bbc.co.uk_news_world-us-canada-25850408.tsv	http:__www.foxnews.com_us_2014_01_23_bart-officer-died-gunshot-wound-to-chest-autopsy-says_.tsv	11
http:__www.bbc.co.uk_news_world-europe-25868765.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.bbc.co.uk_news_world-europe-25872417.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.bbc.co.uk_news_world-europe-25876807.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	11
http:__www.bbc.co.uk_news_world-europe-25881563.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	10
http:__www.bbc.co.uk_news_world-middle-east-25855027.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	11
http:__www.bbc.co.uk_news_world-middle-east-25872808.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	11
http:__www.bbc.co.uk_news_world-middle-east-25880727.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	10
http:__www.bbc.co.uk_news_world-middle-east-25887177.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	10
http:__www.bbc.co.uk_news_world-middle-east-25888988.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	9
http:__www.bbc.co.uk_news_world-us-canada-25848393.tsv	http:__www.foxnews.com_world_2014_01_23_texas-executes-mexican-despite-diplomatic-protests_.tsv	12
http:__www.bbc.co.uk_news_world-europe-25868765.tsv	http:__www.foxnews.com_world_2014_01_24_ukraine-opposition-gives-president-election-ultimatum_.tsv	10
http:__www.bbc.co.uk_news_world-europe-25872417.tsv	http:__www.foxnews.com_world_2014_01_24_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
